Home,Home Points,Visitor,Visitor Points
Indiana Pacers,97,Orlando Magic,87
Miami Heat,107,Chicago Bulls,95
Los Angeles Lakers,116,Los Angeles Clippers,103
Cleveland Cavaliers,98,Brooklyn Nets,94
Toronto Raptors,93,Boston Celtics,87
Philadelphia 76ers,114,Miami Heat,110
Detroit Pistons,113,Washington Wizards,102
New York Knicks,90,Milwaukee Bucks,83
New Orleans Pelicans,90,Indiana Pacers,95
Minnesota Timberwolves,120,Orlando Magic,115
Houston Rockets,96,Charlotte Bobcats,83
San Antonio Spurs,101,Memphis Grizzlies,94
Dallas Mavericks,118,Atlanta Hawks,109
Utah Jazz,98,Oklahoma City Thunder,101
Phoenix Suns,104,Portland Trail Blazers,91
Sacramento Kings,90,Denver Nuggets,88
Golden State Warriors,125,Los Angeles Lakers,94
Chicago Bulls,82,New York Knicks,81
Los Angeles Clippers,126,Golden State Warriors,115
Charlotte Bobcats,90,Cleveland Cavaliers,84
Orlando Magic,110,New Orleans Pelicans,90
Washington Wizards,102,Philadelphia 76ers,109
Atlanta Hawks,102,Toronto Raptors,95
Boston Celtics,98,Milwaukee Bucks,105
Brooklyn Nets,101,Miami Heat,100
Houston Rockets,113,Dallas Mavericks,105
Memphis Grizzlies,111,Detroit Pistons,108
Minnesota Timberwolves,100,Oklahoma City Thunder,81
Denver Nuggets,98,Portland Trail Blazers,113
Phoenix Suns,87,Utah Jazz,84
Sacramento Kings,101,Los Angeles Clippers,110
Los Angeles Lakers,85,San Antonio Spurs,91
Indiana Pacers,89,Cleveland Cavaliers,74
Philadelphia 76ers,107,Chicago Bulls,104
New Orleans Pelicans,105,Charlotte Bobcats,84
Dallas Mavericks,111,Memphis Grizzlies,99
Milwaukee Bucks,90,Toronto Raptors,97
Utah Jazz,93,Houston Rockets,104
Portland Trail Blazers,115,San Antonio Spurs,105
Golden State Warriors,98,Sacramento Kings,87
Detroit Pistons,87,Boston Celtics,77
Miami Heat,103,Washington Wizards,93
Orlando Magic,107,Brooklyn Nets,86
Oklahoma City Thunder,103,Phoenix Suns,96
New York Knicks,100,Minnesota Timberwolves,109
Los Angeles Lakers,105,Atlanta Hawks,103
Cleveland Cavaliers,93,Minnesota Timberwolves,92
Philadelphia 76ers,90,Golden State Warriors,110
Memphis Grizzlies,95,Boston Celtics,88
Los Angeles Clippers,137,Houston Rockets,118
Toronto Raptors,95,Miami Heat,104
Brooklyn Nets,104,Utah Jazz,88
Detroit Pistons,91,Indiana Pacers,99
New York Knicks,97,Charlotte Bobcats,102
New Orleans Pelicans,98,Phoenix Suns,104
Dallas Mavericks,123,Los Angeles Lakers,104
Denver Nuggets,94,San Antonio Spurs,102
Portland Trail Blazers,101,Houston Rockets,116
Sacramento Kings,100,Atlanta Hawks,105
Charlotte Bobcats,92,Toronto Raptors,90
Indiana Pacers,97,Chicago Bulls,80
Orlando Magic,98,Los Angeles Clippers,90
Philadelphia 76ers,102,Washington Wizards,116
Boston Celtics,97,Utah Jazz,87
Memphis Grizzlies,84,New Orleans Pelicans,99
Milwaukee Bucks,109,Cleveland Cavaliers,104
Minnesota Timberwolves,93,Golden State Warriors,106
San Antonio Spurs,99,Phoenix Suns,96
Oklahoma City Thunder,107,Dallas Mavericks,93
Miami Heat,102,Los Angeles Clippers,97
Denver Nuggets,109,Atlanta Hawks,107
Houston Rockets,98,Los Angeles Lakers,99
Charlotte Bobcats,91,New York Knicks,101
Indiana Pacers,91,Toronto Raptors,84
Orlando Magic,89,Boston Celtics,91
Philadelphia 76ers,94,Cleveland Cavaliers,79
Washington Wizards,112,Brooklyn Nets,108
Detroit Pistons,110,Oklahoma City Thunder,119
Chicago Bulls,97,Utah Jazz,73
Minnesota Timberwolves,116,Dallas Mavericks,108
New Orleans Pelicans,96,Los Angeles Lakers,85
San Antonio Spurs,76,Golden State Warriors,74
Phoenix Suns,114,Denver Nuggets,103
Portland Trail Blazers,104,Sacramento Kings,91
Toronto Raptors,115,Utah Jazz,91
Atlanta Hawks,104,Orlando Magic,94
Brooklyn Nets,91,Indiana Pacers,96
Cleveland Cavaliers,127,Philadelphia 76ers,125
Miami Heat,110,Boston Celtics,111
Houston Rockets,94,Los Angeles Clippers,107
Memphis Grizzlies,108,Golden State Warriors,90
Milwaukee Bucks,83,Dallas Mavericks,91
Sacramento Kings,85,Portland Trail Blazers,96
New York Knicks,89,San Antonio Spurs,120
Oklahoma City Thunder,106,Washington Wizards,105
Phoenix Suns,101,New Orleans Pelicans,94
Los Angeles Lakers,90,Minnesota Timberwolves,113
Charlotte Bobcats,94,Atlanta Hawks,103
Indiana Pacers,95,Memphis Grizzlies,79
Philadelphia 76ers,85,San Antonio Spurs,109
Boston Celtics,120,Orlando Magic,105
Chicago Bulls,96,Cleveland Cavaliers,81
Houston Rockets,110,Toronto Raptors,104
Utah Jazz,81,Denver Nuggets,100
Portland Trail Blazers,109,Detroit Pistons,103
Los Angeles Clippers,109,Minnesota Timberwolves,107
Miami Heat,118,Milwaukee Bucks,95
Dallas Mavericks,105,Washington Wizards,95
Golden State Warriors,113,Detroit Pistons,95
Los Angeles Lakers,116,New Orleans Pelicans,95
Orlando Magic,94,Milwaukee Bucks,91
Philadelphia 76ers,123,Houston Rockets,117
Boston Celtics,83,Charlotte Bobcats,89
Atlanta Hawks,91,New York Knicks,95
Memphis Grizzlies,87,Toronto Raptors,103
Minnesota Timberwolves,124,Cleveland Cavaliers,95
San Antonio Spurs,92,Washington Wizards,79
Denver Nuggets,111,Los Angeles Lakers,99
Utah Jazz,111,New Orleans Pelicans,105
Portland Trail Blazers,90,Phoenix Suns,89
Sacramento Kings,107,Brooklyn Nets,86
Los Angeles Clippers,111,Oklahoma City Thunder,103
New York Knicks,106,Houston Rockets,109
Golden State Warriors,116,Oklahoma City Thunder,115
Indiana Pacers,104,Milwaukee Bucks,77
Toronto Raptors,80,Chicago Bulls,96
Atlanta Hawks,113,Philadelphia 76ers,103
Boston Celtics,96,Portland Trail Blazers,109
Cleveland Cavaliers,80,Charlotte Bobcats,86
Miami Heat,110,Dallas Mavericks,104
Denver Nuggets,117,Minnesota Timberwolves,113
Phoenix Suns,98,Brooklyn Nets,100
Utah Jazz,82,San Antonio Spurs,91
Los Angeles Lakers,86,Memphis Grizzlies,89
Sacramento Kings,90,Detroit Pistons,97
Charlotte Bobcats,81,Miami Heat,97
Orlando Magic,100,Dallas Mavericks,108
Washington Wizards,96,Cleveland Cavaliers,103
New York Knicks,90,Atlanta Hawks,110
Chicago Bulls,110,Indiana Pacers,94
Houston Rockets,122,Denver Nuggets,111
Minnesota Timberwolves,106,Boston Celtics,88
New Orleans Pelicans,135,Philadelphia 76ers,98
Milwaukee Bucks,79,Oklahoma City Thunder,92
Golden State Warriors,102,Utah Jazz,88
Los Angeles Clippers,110,Brooklyn Nets,103
Toronto Raptors,110,Portland Trail Blazers,118
Sacramento Kings,86,Memphis Grizzlies,97
Los Angeles Lakers,114,Detroit Pistons,99
Brooklyn Nets,98,Portland Trail Blazers,108
Chicago Bulls,86,Charlotte Bobcats,81
Oklahoma City Thunder,115,Denver Nuggets,113
Dallas Mavericks,97,Philadelphia 76ers,94
Utah Jazz,87,Golden State Warriors,98
Los Angeles Clippers,102,Memphis Grizzlies,106
Washington Wizards,104,Minnesota Timberwolves,100
Detroit Pistons,92,New York Knicks,86
Miami Heat,104,Atlanta Hawks,88
Houston Rockets,109,Boston Celtics,85
Sacramento Kings,107,Phoenix Suns,104
Charlotte Bobcats,95,Brooklyn Nets,91
Cleveland Cavaliers,91,Washington Wizards,98
New York Knicks,96,Indiana Pacers,103
Orlando Magic,92,Miami Heat,120
Philadelphia 76ers,98,Toronto Raptors,108
Atlanta Hawks,93,Detroit Pistons,85
Milwaukee Bucks,82,Portland Trail Blazers,91
Minnesota Timberwolves,98,Los Angeles Clippers,102
New Orleans Pelicans,105,Utah Jazz,98
San Antonio Spurs,104,Boston Celtics,93
Phoenix Suns,106,Sacramento Kings,113
Dallas Mavericks,123,Houston Rockets,120
Golden State Warriors,81,Memphis Grizzlies,88
Oklahoma City Thunder,105,Los Angeles Clippers,91
Denver Nuggets,97,Chicago Bulls,87
Charlotte Bobcats,91,Phoenix Suns,98
Philadelphia 76ers,115,Milwaukee Bucks,107
Toronto Raptors,96,Washington Wizards,88
Boston Celtics,82,Indiana Pacers,97
Detroit Pistons,89,Atlanta Hawks,96
Memphis Grizzlies,86,San Antonio Spurs,102
Minnesota Timberwolves,111,Brooklyn Nets,81
New Orleans Pelicans,104,Cleveland Cavaliers,100
Dallas Mavericks,103,Utah Jazz,93
Portland Trail Blazers,98,Chicago Bulls,95
Los Angeles Lakers,102,Golden State Warriors,95
Los Angeles Clippers,103,Sacramento Kings,102
Indiana Pacers,106,Philadelphia 76ers,98
Washington Wizards,98,New York Knicks,89
Atlanta Hawks,87,Boston Celtics,94
Miami Heat,101,Orlando Magic,99
Houston Rockets,112,Minnesota Timberwolves,101
Milwaukee Bucks,72,Charlotte Bobcats,96
San Antonio Spurs,126,Cleveland Cavaliers,96
Denver Nuggets,102,Dallas Mavericks,100
Golden State Warriors,101,Portland Trail Blazers,113
Brooklyn Nets,97,Detroit Pistons,109
Los Angeles Clippers,121,Chicago Bulls,82
Orlando Magic,96,Phoenix Suns,104
Oklahoma City Thunder,95,Utah Jazz,73
Los Angeles Lakers,100,Sacramento Kings,86
Charlotte Bobcats,86,Boston Celtics,96
Indiana Pacers,98,Minnesota Timberwolves,84
Detroit Pistons,113,Milwaukee Bucks,94
Miami Heat,107,Phoenix Suns,92
Memphis Grizzlies,86,Houston Rockets,93
Dallas Mavericks,96,Denver Nuggets,110
San Antonio Spurs,112,New Orleans Pelicans,93
Utah Jazz,89,Chicago Bulls,83
Portland Trail Blazers,102,New York Knicks,91
Toronto Raptors,100,Brooklyn Nets,102
Washington Wizards,116,Los Angeles Lakers,111
Atlanta Hawks,92,Orlando Magic,109
New Orleans Pelicans,101,Golden State Warriors,102
Charlotte Bobcats,74,Indiana Pacers,99
Orlando Magic,105,Philadelphia 76ers,94
Boston Celtics,93,Memphis Grizzlies,100
Brooklyn Nets,94,Los Angeles Lakers,99
Cleveland Cavaliers,84,Miami Heat,95
Detroit Pistons,79,Chicago Bulls,99
Houston Rockets,113,Atlanta Hawks,84
Milwaukee Bucks,92,Washington Wizards,100
Minnesota Timberwolves,110,Denver Nuggets,117
Oklahoma City Thunder,94,San Antonio Spurs,88
Dallas Mavericks,103,Golden State Warriors,99
Phoenix Suns,120,Portland Trail Blazers,106
Los Angeles Clippers,93,New York Knicks,80
Charlotte Bobcats,92,Milwaukee Bucks,76
Orlando Magic,91,San Antonio Spurs,109
Toronto Raptors,83,Miami Heat,90
Atlanta Hawks,88,Dallas Mavericks,87
Boston Celtics,103,Cleveland Cavaliers,86
Detroit Pistons,102,Los Angeles Lakers,106
Houston Rockets,114,Brooklyn Nets,95
Indiana Pacers,93,Washington Wizards,73
Oklahoma City Thunder,113,Golden State Warriors,112
Philadelphia 76ers,105,New Orleans Pelicans,121
Denver Nuggets,97,New York Knicks,95
Utah Jazz,101,Phoenix Suns,112
Sacramento Kings,98,Los Angeles Clippers,104
Washington Wizards,108,Atlanta Hawks,101
Cleveland Cavaliers,97,Chicago Bulls,93
Memphis Grizzlies,88,Brooklyn Nets,97
Dallas Mavericks,106,Minnesota Timberwolves,112
San Antonio Spurs,106,Houston Rockets,112
Milwaukee Bucks,92,Boston Celtics,85
Phoenix Suns,104,Utah Jazz,112
Toronto Raptors,98,Denver Nuggets,112
Detroit Pistons,115,Philadelphia 76ers,100
Los Angeles Clippers,100,Indiana Pacers,105
Miami Heat,99,Charlotte Bobcats,98
Sacramento Kings,113,Golden State Warriors,115
Oklahoma City Thunder,113,Minnesota Timberwolves,103
New York Knicks,99,New Orleans Pelicans,103
Los Angeles Lakers,108,Portland Trail Blazers,114
Washington Wizards,98,Orlando Magic,80
Chicago Bulls,128,New Orleans Pelicans,131
San Antonio Spurs,102,Atlanta Hawks,100
Utah Jazz,109,Houston Rockets,103
Portland Trail Blazers,106,Indiana Pacers,102
Philadelphia 76ers,126,Orlando Magic,125
Boston Celtics,108,Milwaukee Bucks,100
Brooklyn Nets,87,Denver Nuggets,111
Miami Heat,97,Detroit Pistons,107
Memphis Grizzlies,110,Phoenix Suns,91
Dallas Mavericks,89,Charlotte Bobcats,82
Sacramento Kings,95,Oklahoma City Thunder,97
Golden State Warriors,112,Toronto Raptors,103
Cleveland Cavaliers,98,Denver Nuggets,88
Atlanta Hawks,107,Los Angeles Clippers,97
Houston Rockets,88,Phoenix Suns,97
Milwaukee Bucks,98,Detroit Pistons,105
New Orleans Pelicans,97,Dallas Mavericks,100
Utah Jazz,86,Indiana Pacers,95
Portland Trail Blazers,111,Oklahoma City Thunder,104
Brooklyn Nets,83,New York Knicks,113
Memphis Grizzlies,81,Los Angeles Clippers,101
Chicago Bulls,107,Miami Heat,87
Charlotte Bobcats,105,Philadelphia 76ers,88
Washington Wizards,105,Milwaukee Bucks,109
Atlanta Hawks,108,Cleveland Cavaliers,89
Boston Celtics,106,Denver Nuggets,98
New York Knicks,121,Orlando Magic,83
Houston Rockets,105,Golden State Warriors,83
New Orleans Pelicans,95,Oklahoma City Thunder,109
Phoenix Suns,106,Toronto Raptors,97
Portland Trail Blazers,130,Utah Jazz,98
Sacramento Kings,100,Los Angeles Lakers,106
Philadelphia 76ers,92,Denver Nuggets,103
Cleveland Cavaliers,88,Los Angeles Clippers,82
Chicago Bulls,75,Detroit Pistons,92
Memphis Grizzlies,82,Golden State Warriors,108
Minnesota Timberwolves,82,Miami Heat,103
Milwaukee Bucks,82,Brooklyn Nets,90
San Antonio Spurs,100,Indiana Pacers,111
Utah Jazz,102,Sacramento Kings,112
Portland Trail Blazers,106,Dallas Mavericks,108
New York Knicks,73,Boston Celtics,114
Detroit Pistons,95,Miami Heat,110
Houston Rockets,98,Orlando Magic,88
Oklahoma City Thunder,118,Indiana Pacers,94
Los Angeles Lakers,94,Toronto Raptors,106
Charlotte Bobcats,115,Golden State Warriors,111
Philadelphia 76ers,83,Los Angeles Clippers,94
Washington Wizards,74,Denver Nuggets,75
Memphis Grizzlies,94,Orlando Magic,85
Utah Jazz,94,Portland Trail Blazers,105
Sacramento Kings,112,Dallas Mavericks,97
Cleveland Cavaliers,109,New York Knicks,94
Indiana Pacers,90,Miami Heat,84
Toronto Raptors,103,San Antonio Spurs,116
Atlanta Hawks,92,Oklahoma City Thunder,101
Brooklyn Nets,104,Boston Celtics,96
Detroit Pistons,94,Minnesota Timberwolves,121
Chicago Bulls,74,Milwaukee Bucks,78
Los Angeles Lakers,108,Phoenix Suns,114
Charlotte Bobcats,83,Orlando Magic,92
Boston Celtics,88,Los Angeles Clippers,96
Memphis Grizzlies,100,Oklahoma City Thunder,116
Milwaukee Bucks,77,San Antonio Spurs,109
Minnesota Timberwolves,106,Philadelphia 76ers,99
New Orleans Pelicans,111,Detroit Pistons,106
New York Knicks,83,Chicago Bulls,78
Sacramento Kings,101,Utah Jazz,122
Golden State Warriors,95,Dallas Mavericks,93
Brooklyn Nets,102,Los Angeles Clippers,93
Portland Trail Blazers,111,Houston Rockets,104
Indiana Pacers,99,Charlotte Bobcats,94
Orlando Magic,100,Cleveland Cavaliers,109
Toronto Raptors,108,Philadelphia 76ers,100
Atlanta Hawks,101,Washington Wizards,99
Boston Celtics,90,New York Knicks,86
Detroit Pistons,103,Brooklyn Nets,99
New Orleans Pelicans,104,Memphis Grizzlies,98
Oklahoma City Thunder,122,Los Angeles Lakers,97
Milwaukee Bucks,90,Chicago Bulls,91
San Antonio Spurs,117,Minnesota Timberwolves,110
Denver Nuggets,93,Utah Jazz,103
Phoenix Suns,116,Sacramento Kings,107
Golden State Warriors,112,Houston Rockets,116
Charlotte Bobcats,85,Los Angeles Lakers,88
Washington Wizards,97,Los Angeles Clippers,113
Miami Heat,114,Cleveland Cavaliers,107
New York Knicks,111,Atlanta Hawks,106
Chicago Bulls,77,Toronto Raptors,99
Philadelphia 76ers,105,Portland Trail Blazers,139
Dallas Mavericks,106,Milwaukee Bucks,93
Utah Jazz,84,San Antonio Spurs,100
Detroit Pistons,109,Portland Trail Blazers,111
Memphis Grizzlies,93,Minnesota Timberwolves,101
Sacramento Kings,106,Houston Rockets,91
Oklahoma City Thunder,101,Orlando Magic,98
Denver Nuggets,102,New Orleans Pelicans,93
Phoenix Suns,106,Golden State Warriors,102
Indiana Pacers,96,Detroit Pistons,101
Atlanta Hawks,114,Los Angeles Lakers,100
Boston Celtics,101,Minnesota Timberwolves,97
Brooklyn Nets,130,Philadelphia 76ers,94
Miami Heat,117,Utah Jazz,94
New York Knicks,101,Washington Wizards,102
Chicago Bulls,82,Orlando Magic,83
Los Angeles Clippers,115,San Antonio Spurs,92
Charlotte Bobcats,95,Sacramento Kings,87
Cleveland Cavaliers,116,Portland Trail Blazers,119
Memphis Grizzlies,92,Los Angeles Lakers,96
Denver Nuggets,93,Oklahoma City Thunder,105
Golden State Warriors,104,New Orleans Pelicans,93
Miami Heat,97,Indiana Pacers,94
Orlando Magic,82,Utah Jazz,86
Toronto Raptors,102,Charlotte Bobcats,104
Atlanta Hawks,124,Sacramento Kings,107
Boston Celtics,106,Detroit Pistons,107
Brooklyn Nets,107,Washington Wizards,113
Milwaukee Bucks,101,New York Knicks,107
Minnesota Timberwolves,120,Portland Trail Blazers,109
Dallas Mavericks,105,Memphis Grizzlies,91
Phoenix Suns,101,San Antonio Spurs,108
Houston Rockets,109,Chicago Bulls,94
Los Angeles Clippers,108,New Orleans Pelicans,95
Oklahoma City Thunder,107,Chicago Bulls,95
Golden State Warriors,102,San Antonio Spurs,104
Philadelphia 76ers,121,Brooklyn Nets,120
Atlanta Hawks,118,Utah Jazz,85
Cleveland Cavaliers,114,Milwaukee Bucks,111
Detroit Pistons,106,Charlotte Bobcats,116
Miami Heat,122,Sacramento Kings,103
Indiana Pacers,114,Houston Rockets,81
Dallas Mavericks,108,Toronto Raptors,109
Denver Nuggets,99,Phoenix Suns,103
Los Angeles Lakers,104,Minnesota Timberwolves,91
New York Knicks,87,Memphis Grizzlies,95
Boston Celtics,99,Washington Wizards,106
Orlando Magic,100,Sacramento Kings,105
Charlotte Bobcats,85,Utah Jazz,88
Detroit Pistons,97,Houston Rockets,114
Chicago Bulls,100,Cleveland Cavaliers,84
Milwaukee Bucks,116,Philadelphia 76ers,106
San Antonio Spurs,100,Oklahoma City Thunder,113
Phoenix Suns,123,Dallas Mavericks,108
Portland Trail Blazers,110,New Orleans Pelicans,107
Golden State Warriors,102,Los Angeles Lakers,83
Los Angeles Clippers,112,Denver Nuggets,91
Indiana Pacers,106,Boston Celtics,79
Oklahoma City Thunder,98,Toronto Raptors,104
Los Angeles Clippers,120,Minnesota Timberwolves,116
Charlotte Bobcats,111,Milwaukee Bucks,110
Cleveland Cavaliers,92,Detroit Pistons,115
Orlando Magic,98,New York Knicks,103
Brooklyn Nets,86,Indiana Pacers,103
Miami Heat,121,Atlanta Hawks,119
Houston Rockets,104,Dallas Mavericks,111
Memphis Grizzlies,104,Utah Jazz,94
San Antonio Spurs,112,Toronto Raptors,99
Denver Nuggets,81,Golden State Warriors,89
Phoenix Suns,117,Los Angeles Lakers,90
Sacramento Kings,100,New Orleans Pelicans,113
Brooklyn Nets,78,Chicago Bulls,95
New York Knicks,94,Oklahoma City Thunder,123
Los Angeles Lakers,95,Miami Heat,101
San Antonio Spurs,98,Houston Rockets,111
Golden State Warriors,105,Los Angeles Clippers,103
Cleveland Cavaliers,125,Atlanta Hawks,127
Houston Rockets,100,Memphis Grizzlies,92
Dallas Mavericks,107,San Antonio Spurs,116
Portland Trail Blazers,116,Los Angeles Clippers,112
Charlotte Bobcats,85,Oklahoma City Thunder,89
Orlando Magic,109,Detroit Pistons,92
Brooklyn Nets,104,Milwaukee Bucks,93
New York Knicks,83,Toronto Raptors,95
Minnesota Timberwolves,120,Washington Wizards,98
New Orleans Pelicans,105,Denver Nuggets,89
Utah Jazz,105,Los Angeles Lakers,103
Sacramento Kings,108,Miami Heat,103
Golden State Warriors,115,Phoenix Suns,86
Boston Celtics,103,Cleveland Cavaliers,100
Indiana Pacers,105,Brooklyn Nets,91
Toronto Raptors,115,New York Knicks,100
Washington Wizards,106,Detroit Pistons,82
Atlanta Hawks,118,Charlotte Bobcats,116
Chicago Bulls,83,Dallas Mavericks,105
